time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449500000	17.8137	18.2893	4.70723	2.36032	0.556276	lidar	0.855361	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6786	18.4645	4.68407	2.37614	0.545742	radar	6.4297	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.47	18.6556	4.78901	2.40641	0.548053	lidar	0.637917	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2929	18.7962	4.75543	2.43737	0.551402	radar	1.69676	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1322	18.9266	4.68819	2.4641	0.550718	lidar	0.239834	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9612	19.0952	4.70368	2.48202	0.541938	radar	3.17893	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7409	19.2136	4.71836	2.5201	0.549841	lidar	2.8172	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5472	19.3696	4.75105	2.54335	0.546886	radar	3.16671	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.308	19.5383	4.87303	2.57037	0.546682	lidar	0.787977	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0897	19.6254	4.83894	2.61066	0.557687	radar	10.051	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8793	19.7684	4.87129	2.63343	0.554009	lidar	0.657089	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6924	19.8839	4.79446	2.65104	0.54162	radar	3.82578	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4491	20.0393	4.90593	2.67238	0.537401	lidar	1.24881	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2317	20.182	4.92856	2.68792	0.526675	radar	6.13604	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0476	20.3013	4.87545	2.70547	0.520456	lidar	2.24348	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8193	20.3877	4.86929	2.73539	0.52305	radar	1.82475	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6029	20.5009	4.87577	2.75561	0.518787	lidar	0.816168	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.364	20.5944	4.91163	2.78289	0.52069	radar	0.892065	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1177	20.6676	4.93031	2.8132	0.523714	lidar	0.521076	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8788	20.7438	4.94967	2.84106	0.525995	radar	0.172461	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.5999	20.8113	5.02803	2.87221	0.529271	lidar	1.34743	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3457	20.8537	5.07631	2.9094	0.541082	radar	2.34069	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1072	20.8927	5.04514	2.9399	0.543655	lidar	0.223642	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.872	20.9509	5.02782	2.96321	0.540886	radar	1.79903	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6911	20.9855	4.88955	2.9876	0.539549	lidar	2.22941	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4305	21.0298	4.94721	3.01384	0.539723	radar	2.55696	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1873	21.0661	4.94717	3.03855	0.538086	lidar	0.11928	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9448	21.0886	4.96219	3.06657	0.540343	radar	1.09032	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7093	21.0621	4.91734	3.1046	0.548546	lidar	2.11043	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
